Entry#,melt,diffusing species,type of diffusion,type of experiment,T(K),P(MPa),PH2O(Mpa),C range(wt%),D(m2/s),1s error,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2Ot,Composition unit,dry total,Ref#,Ref# (Repeat but for checking it copied over correctly),author,year,journal,Vol,Page,Comments,doi,title
2,Albite melt,Li,Tracer,thin source,1183.15,0.1,,,7.2e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
3,Albite melt,Li,Tracer,thin source,1063.15,0.1,,,6.8e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
4,Albite melt,Li,Tracer,thin source,958.15,0.1,,,1e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
5,Albite melt,Li,Tracer,thin source,855.15,0.1,,,2.3e-11,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
6,Albite melt,Li,Tracer,thin source,742.15,0.1,,,3.6e-12,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
7,Ab39Or61 melt,Li,Tracer,thin source,1053.15,0.1,,,5.3e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
8,Ab39Or61 melt,Li,Tracer,thin source,958.15,0.1,,,3e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
9,Ab39Or61 melt,Li,Tracer,thin source,855.15,0.1,,,1.5e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
10,Ab39Or61 melt,Li,Tracer,thin source,728.15,0.1,,,1.4e-12,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
11,Rhyolite5,Li,Tracer,thin source,1182.15,0.1,,,1.7e-10,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
